# Module	Version	SPDX license
github.com/beorn7/perks	v1.0.1	MIT
github.com/cespare/xxhash/v2	v2.3.0	MIT
github.com/go-logr/logr	v1.4.4	Apache-2.0
github.com/go-logr/stdr	v1.2.2	Apache-2.0
github.com/google/uuid	v1.6.0	BSD-3-Clause
github.com/jackc/pgpassfile	v1.0.0	MIT
github.com/jackc/pgservicefile	v0.0.0-20240606120523-5a60cdf6a761	MIT
github.com/jackc/pgx/v5	v5.9.2	MIT
github.com/jackc/puddle/v2	v2.2.2	MIT
github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822	BSD-3-Clause
github.com/prometheus/client_golang	v1.24.1	Apache-2.0
github.com/prometheus/client_model	v0.6.2	Apache-2.0
github.com/prometheus/common	v0.70.1	Apache-2.0
github.com/prometheus/procfs	v0.21.1	Apache-2.0
go.opentelemetry.io/auto/sdk	v1.2.1	Apache-2.0
go.opentelemetry.io/otel	v1.46.0	Apache-2.0
go.opentelemetry.io/otel/metric	v1.46.0	Apache-2.0
go.opentelemetry.io/otel/sdk	v1.46.0	Apache-2.0
go.opentelemetry.io/otel/trace	v1.46.0	Apache-2.0
golang.org/x/sync	v0.22.0	BSD-3-Clause
golang.org/x/sys	v0.47.0	BSD-3-Clause
golang.org/x/text	v0.40.0	BSD-3-Clause
google.golang.org/protobuf	v1.36.11	BSD-3-Clause
