# Generated from the image APK database; identical on amd64 and arm64.
# package	version	declared license	origin	aports commit
alpine-baselayout	3.7.2-r0	GPL-2.0-only	alpine-baselayout	15b3b78187b3808104f98f765e9632e0b09281a7
alpine-baselayout-data	3.7.2-r0	GPL-2.0-only	alpine-baselayout	15b3b78187b3808104f98f765e9632e0b09281a7
alpine-keys	2.6-r0	MIT	alpine-keys	b9f23becced4d7b3ccc0fa0f28530243ccd314a0
alpine-release	3.23.6-r0	MIT	alpine-base	8608c79733409c3aa716f7985d1cb45aedba55bd
apk-tools	3.0.8-r0	GPL-2.0-only	apk-tools	286502dc74df00f907f93b0563867630dcc139e5
bash	5.3.3-r1	GPL-3.0-or-later	bash	62f5c1ced949bdcec9759c442ff0f8e452d22ddb
brotli-libs	1.2.0-r0	MIT	brotli	e1a74d1bc0c4e0308990de2e9ec9d82529fcac8f
busybox	1.37.0-r30	GPL-2.0-only	busybox	1e823a60eb85606954b3a5af5f8e5bbd1ea680cf
busybox-binsh	1.37.0-r30	GPL-2.0-only	busybox	1e823a60eb85606954b3a5af5f8e5bbd1ea680cf
c-ares	1.34.8-r0	MIT	c-ares	5d4c6f7c12416f51673a8364ae60a3046345f11f
ca-certificates	20260909-r0	MPL-2.0 AND MIT	ca-certificates	c733d58a9d16316e7fb6a49e65f28ecda365c56b
ca-certificates-bundle	20260909-r0	MPL-2.0 AND MIT	ca-certificates	c733d58a9d16316e7fb6a49e65f28ecda365c56b
git	2.52.0-r0	GPL-2.0-only	git	fd43f6a336353b49fe5e9e3a3e8496ad05b53902
git-init-template	2.52.0-r0	GPL-2.0-only	git	fd43f6a336353b49fe5e9e3a3e8496ad05b53902
libapk	3.0.8-r0	GPL-2.0-only	apk-tools	286502dc74df00f907f93b0563867630dcc139e5
libcrypto3	3.5.8-r0	Apache-2.0	openssl	2b4b2590f782b95276d31dcaaf41554b1a597a0b
libcurl	8.22.0-r0	curl	curl	ce63a8e353eacc32ad36fd49ae1f427f4306da87
libexpat	2.8.4-r0	MIT	expat	14ad43549b3b3c08f5f204ee638e9106c888807e
libgcc	15.2.0-r2	GPL-2.0-or-later AND LGPL-2.1-or-later	gcc	7fa6e7fd3465c5ff89cc33a56d20bf4d59105aaf
libidn2	2.3.8-r0	GPL-2.0-or-later OR LGPL-3.0-or-later	libidn2	8240e09aa2fdd8f9979b2016be082273965aff0c
libncursesw	6.5_p20251123-r0	X11	ncurses	f7479f62dcb52ace52d99650c80de275010ec3ac
libpsl	0.21.5-r3	MIT	libpsl	6bd45b53fb316dc01bda59f5feaf1e127eb64f22
libssl3	3.5.8-r0	Apache-2.0	openssl	2b4b2590f782b95276d31dcaaf41554b1a597a0b
libunistring	1.4.1-r0	GPL-2.0-or-later OR LGPL-3.0-or-later	libunistring	cd5407e1341869af38d836fe83f9dbc98799f43a
musl	1.2.5-r23	MIT	musl	8aef0c37b0ad23dc4137f0e4755b97a59dc698b8
musl-utils	1.2.5-r23	MIT AND BSD-2-Clause AND GPL-2.0-or-later	musl	8aef0c37b0ad23dc4137f0e4755b97a59dc698b8
ncurses-terminfo-base	6.5_p20251123-r0	X11	ncurses	f7479f62dcb52ace52d99650c80de275010ec3ac
nghttp2-libs	1.69.0-r0	MIT	nghttp2	40d265063c14143f5ef8a35c216b9e6392d120a7
pcre2	10.48-r0	BSD-3-Clause	pcre2	7fc7e2c2e7c49274bb5cac4f218975d09913ad20
readline	8.3.1-r0	GPL-3.0-or-later	readline	1d76ecdcac4abea004f7946038405cdb8b214522
ripgrep	15.1.0-r0	MIT OR Unlicense	ripgrep	8c9a0c8397086710fcb193a9af64fc0458a1b54b
scanelf	1.3.8-r2	GPL-2.0-only	pax-utils	3912b4fa83437852312ad3c37a00229ff59fab1c
ssl_client	1.37.0-r30	GPL-2.0-only	busybox	1e823a60eb85606954b3a5af5f8e5bbd1ea680cf
zlib	1.3.2-r0	Zlib	zlib	f8c94d2e1d318ab29eb4ac5f00225341c877ed65
zstd-libs	1.5.7-r2	BSD-3-Clause OR GPL-2.0-or-later	zstd	3c6e2ee2b16f403d53eab39c4426eb61f003c322
